episode_date,episode_title,youtube_url,source_file,timestamp_start,timestamp_end,speaker,speaker_confidence,speaker_attribution_reason,ticker_or_asset,company_or_asset_name,asset_type,raw_transcript_excerpt,normalized_quote,evidence_strength,normalization_notes
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,1:34,1:49,Chris Camillo,High,"Chris originated the trade reveal; uses 'I own the company' first-person about the social arb stock he's about to name (GAIN/Schilling/Neato). The whole episode is built around this Chris-discovered trade.",GAIN,Gladstone Investment Corp (parent of Schilling / Neato squishies),Stock,"I own the company. I'm not planning to sell the company anytime soon uh until I see this trade through.",Owns GAIN; not selling until trade plays out.,explicit,GAIN trades on Nasdaq as Gladstone Investment Corp.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,12:50,13:00,Chris Camillo,High,"Chris's continuing GAIN monologue immediately after revealing the ticker.",GAIN,Gladstone Investment Corp,Stock,"full transparency, you know, I I'm long the stock. I I won't be selling into any of this in the next few days.",Long GAIN; will not sell into the post-reveal pop.,explicit,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,15:51,21:24,Chris Camillo,High,"Chris's signature 'social arb' framing throughout the GAIN segment.",GAIN,Gladstone Investment Corp,Stock,"I'm kind of excited about this trade guys. It's as old school social arb as it gets. … I I I I bought a pretty decent amount of the of the of the stock … I'm hoping to hold. This is honestly one I will hold most likely as long as the product continues to trend.",Excited about GAIN; bought meaningful position; plans to hold as long as Neato keeps trending.,explicit,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,16:01,16:18,Chris Camillo,High,"Chris references 'my Amazon trade' and 'my air sports trade' - both his.",AMZN,Amazon,Stock,"this stupid war that we're in right now with Iran that's driving oil prices up and screwing impartially screwing my Amazon trade … high oil prices is terrible for Amazon due to their shipping costs.",Owns Amazon; oil/war hurting it short-term but he's not selling.,explicit,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,16:18,16:32,Chris Camillo,High,"Same monologue as AMZN; 'my air sports trade'.",AS,Amer Sports (Salomon shoes / Arc'teryx),Stock,"It's also screwing my my air sports trade because there's a lot of oil used in shoes and all the products that they make.",Owns Amer Sports; oil prices a headwind via shoe manufacturing.,explicit,Transcript spells 'air sports' (phonetic). Refers to Amer Sports (NYSE: AS) parent of Salomon/Arc'teryx.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,28:48,29:08,Chris Camillo,High,"Chris saying 'I bought' Bloom on the dip, in his characteristic levered-add style.",BE,Bloom Energy,Stock,"there was a huge buying opportunity in Bloom Energy the other day because of all this stuff and I took advantage of it. I I bought um I bought a good amount",Bought a good amount of Bloom Energy on the dip.,explicit,Bloom dropped to ~$130s-$140s on data center rumor; Chris adds.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,30:21,32:00,Chris Camillo,High,"Chris's signature AI super-cycle conviction language - 'doubling down' on AI/Amazon.",AI / AMZN,AI super-cycle / Amazon,Theme / Stock,"AI is the gold of this generation yet 99% of people don't even think the gold exists yet. … I'm in it. I'm in it to win it. I'm not selling. … keep doubling down. … put more money behind Amazon and each of the AI, you know, stocks that were in.",Massive thematic AI conviction; will keep doubling down; AMZN-centric.,explicit,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,32:22,40:23,Chris Camillo,High,"Long Chris monologue about Amazon thesis, war headwind, and willingness to lever further.",AMZN,Amazon,Stock,"I think even more exciting than that for me is Amazon here. … I think I'm going even deeper into Amazon, guys … I love Amazon today more than I liked it when we did our episode a few weeks ago. … I would pour into it in the 220s. … I'm picking one and I'm going into it highly levered. … I haven't sold any of the my Amazon position. I haven't sold any of the lever position I have in into Amazon. … I feel like I want to own more, not less of Amazon.",Owns AMZN with leverage; conviction higher than ever; will add at $220s and more if war ends.,explicit,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,40:29,40:38,Chris Camillo,High,"Direct 'I still love Bloom' language in the same conviction monologue.",BE,Bloom Energy,Stock,"Bloom I still feel great about. I I just I still love Bloom here. I love the riskreward on Bloom as well. And of course, I own a ton of other AI stocks",Loves BE risk/reward at current levels; owns it plus other AI names.,explicit,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,45:30,46:48,Chris Camillo,High,"Chris's stated shift away from privates.",Private AI,Pre-IPO private AI companies,Theme,"I stopped all that recently. I don't like the riskreward of putting money into any of these private companies right now … There are a lot of companies chasing capital in the private market right now. And I it's a dangerous game to play.",Has stopped putting money into private AI; prefers public AI equity for liquidity/leverage.,explicit,
